category|sku|extraction_time
half-price|633791|2023-07-08 11:01:31
half-price|550039|2023-07-08 11:01:31
half-price|62553|2023-07-08 11:01:31
half-price|80168|2023-07-08 11:01:31
half-price|206033|2023-07-08 11:01:31
half-price|109280|2023-07-08 11:01:31
half-price|183990|2023-07-08 11:01:31
half-price|820120|2023-07-08 11:01:31
half-price|112924|2023-07-08 11:01:31
half-price|288952|2023-07-08 11:01:31
half-price|825590|2023-07-08 11:01:31
half-price|186665|2023-07-08 11:01:31
half-price|678247|2023-07-08 11:01:31
half-price|139504|2023-07-08 11:01:31
half-price|878745|2023-07-08 11:01:31
half-price|235558|2023-07-08 11:01:31
half-price|15882|2023-07-08 11:01:31
half-price|164813|2023-07-08 11:01:31
half-price|355054|2023-07-08 11:01:31
half-price|204699|2023-07-08 11:01:31
half-price|339043|2023-07-08 11:01:31
half-price|184866|2023-07-08 11:01:31
half-price|289212|2023-07-08 11:01:31
half-price|134710|2023-07-08 11:01:31
half-price|198966|2023-07-08 11:01:31
half-price|140881|2023-07-08 11:01:31
half-price|229092|2023-07-08 11:01:31
half-price|532342|2023-07-08 11:01:31
half-price|821705|2023-07-08 11:01:31
half-price|460956|2023-07-08 11:01:31
half-price|820121|2023-07-08 11:01:31
